survey_id,country_id,country,year,survey_name,sample_size,hivst_knowledge_prop,hivst_knowledge_Lower_CI,hivst_knowledge_Upper_CI,hivst_use_prop,hivst_use_lower_CI,hivst_use_upper_CI
BEN2017DHS,BEN,Benin,2017,DHS,23523,0.045038508,0.041311996,0.049083957,0.005785183,0.004771759,0.007012322
BWA2021BAIS,BWA,Botswana,2021,BAIS,17205,NA,NA,NA,0.0213,0.0179,0.0252
BFA2021DHS,BFA,Burkina Faso,2021,DHS,25379,0.039916519,0.036047767,0.044181447,0.003209652,0.002355459,0.004372255
BDI2016DHS,BDI,Burundi,2016,DHS,24821,0.039758486,0.035112981,0.044989942,0.002915412,0.002099394,0.004047325
CMR2018DHS,CMR,Cameroon,2018,DHS,21655,0.158120787,0.146632807,0.170329153,0.024986741,0.021861043,0.028546309
CAF2018MICS,CAF,Central African Republic,2018,MICS,13071,0.160053616,0.147660763,0.173275128,0.042123618,0.036538845,0.048519008
TCD2019MICS,TCD,Chad,2019,MICS,29466,0.08949698,0.080833746,0.098988693,0.024475571,0.020407991,0.0293296
COM2022MICS,COM,Comoros,2022,MICS,9789,0.167685126,0.148980729,0.188218471,0.047594915,0.038873665,0.058154378
CIV2021DHS,CIV,Cote d'Ivoire,2021,DHS,22468,0.10147574,0.090522639,0.113588624,0.011176238,0.008802249,0.014181337
COD2017MICS,COD,Democratic Republic of the Congo,2017,MICS,27858,0.112377095,0.098878939,0.127457279,0.020439629,0.015874668,0.026282245
SWZ2021PHIA,SWZ,Eswatini,2021,PHIA,12043,NA,NA,NA,0.200325129,0.188297901,0.212919064
SWZ2021MICS,SWZ,Eswatini,2021,MICS,3659,0.718522824,0.699380659,0.736904623,0.286015891,0.266369217,0.306506232
GAB2019DHS,GAB,Gabon,2019,DHS,17937,0.100091504,0.090915905,0.110081008,0.006965375,0.004757172,0.010188098
GMB2018MICS,GMB,Gambia,2018,MICS,18152,0.094254471,0.088056059,0.100840952,0.005606271,0.004272311,0.007353661
GHA2022DHS,GHA,Ghana,2022,DHS,22058,0.197170362,0.187713951,0.206981766,0.022204425,0.019396006,0.025408949
GHA2017MICS,GHA,Ghana,2017,MICS,19693,0.158402894,0.149339826,0.167907414,0.021112792,0.018054842,0.024675653
GIN2018DHS,GIN,Guinea,2018,DHS,14991,0.073149281,0.066027722,0.080972359,0.006910703,0.00498535,0.009572478
GNB2018MICS,GNB,Guinea-Bissau,2018,MICS,13750,0.078505524,0.070318925,0.087555456,0.027936861,0.022298802,0.034949495
KEN2022DHS,KEN,Kenya,2022,DHS,46609,0.399438089,0.391706536,0.407220086,0.061678553,0.058006415,0.065566979
KEN2018PHIA,KEN,Kenya,2018,PHIA,42452,NA,NA,NA,0.041322979,0.037322622,0.045731739
KEN2012KAIS,KEN,Kenya,2012,KAIS,13694,NA,NA,NA,0.034,0.03,0.04
LSO2020PHIA,LSO,Lesotho,2020,PHIA,16468,NA,NA,NA,0.093270549,0.086745183,0.100232907
LBR2019DHS,LBR,Liberia,2019,DHS,12314,0.110413411,0.099271134,0.122636032,0.014181291,0.011412893,0.017609251
MDG2021DHS,MDG,Madagascar,2021,DHS,27906,0.033737715,0.0304744,0.03733702,0.004262619,0.003330598,0.005454025
MDG2018MICS,MDG,Madagascar,2018,MICS,24782,0.054737186,0.048847007,0.061291858,0.01505448,0.012274312,0.018452601
MWI2015DHS,MWI,Malawi,2015,DHS,32040,0.103674762,0.096196859,0.111662145,0.009573811,0.008159491,0.011230505
MWI2020PHIA,MWI,Malawi,2020,PHIA,26519,0.317,0.304,0.329,0.222466874,0.208470958,0.237120933
MWI2019MICS,MWI,Malawi,2019,MICS,31328,0.367121099,0.355324825,0.379078715,0.073595275,0.0678938,0.079734583
MLI2018DHS,MLI,Mali,2018,DHS,15137,0.074058945,0.066133859,0.082849472,0.008314537,0.005991331,0.011528145
MRT2019DHS,MRT,Mauritania,2019,DHS,21387,0.073171973,0.067303081,0.079509011,0.009265293,0.007669622,0.011189202
MOZ2021PHIA,MOZ,Mozambique,2021,PHIA,17105,NA,NA,NA,0.09887387,0.086863653,0.112340384
NAM2017PHIA,NAM,Namibia,2017,PHIA,26521,NA,NA,NA,0.040753914,0.035352174,0.046940864
RWA2019DHS,RWA,Rwanda,2019,DHS,21147,0.190796277,0.182797262,0.199060058,0.014020871,0.012141387,0.016186531
STP2019MICS,STP,Sao Tome and Principe,2019,MICS,3531,0.393238808,0.363320586,0.423980082,0.248344213,0.224278873,0.274079426
SEN2017DHS,SEN,Senegal,2017,DHS,23764,0.051236842,0.046024131,0.057004667,0.001723267,0.001133753,0.002618504
SLE2019DHS,SLE,Sierra Leone,2019,DHS,22771,0.197332075,0.182955869,0.212544063,0.033221637,0.028181099,0.039127439
SLE2017MICS,SLE,Sierra Leone,2017,MICS,25259,0.164415551,0.153466313,0.175983578,0.028830351,0.025210052,0.032952969
ZAF2016DHS,ZAF,South Africa,2016,DHS,12132,0.241866253,0.227791935,0.256521293,0.028710796,0.024477467,0.033651016
TZA2022DHS,TZA,Tanzania,2022,DHS,21017,0.212729741,0.199791413,0.226269024,0.035698416,0.031579767,0.040331851
TGO2017MICS,TGO,Togo,2017,MICS,9612,0.109208286,0.099151212,0.12014941,0.014617704,0.011514467,0.0185416
UGA2016DHS,UGA,Uganda,2016,DHS,23842,0.257052327,0.246564577,0.267827601,0.048147248,0.044166329,0.05246729
ZMB2018DHS,ZMB,Zambia,2018,DHS,25815,0.204082882,0.190016635,0.218908984,0.028105665,0.023363704,0.033776781
ZWE2015DHS,ZWE,Zimbabwe,2015,DHS,18351,0.091870117,0.085994763,0.098103802,0.008893739,0.007262365,0.010887556
ZWE2020PHIA,ZWE,Zimbabwe,2020,PHIA,20793,NA,NA,NA,0.061310847,0.055182938,0.068070217
ZWE2019MICS,ZWE,Zimbabwe,2019,MICS,14309,0.32048942,0.306591222,0.334713525,0.0545699,0.048274059,0.061633663
